accession_version	Accession	Strain	Country	Province	Location	Export_country	Common_name	Species_latin_binomial	Year	Major_clade	Minor_clade	Source	Reference	Coverage	Dataset	full_minor	region	location	host_common_name	host_latin_name	submitters	collection_year
PQ379842.1																	North America				Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2020
PQ379841.1																	North America				Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2020
PQ379840.1																	North America				Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2021
PQ379839.1																	North America				Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2021
PQ379838.1																	North America				Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2021
PQ379837.1																	North America				Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2021
PQ379836.1																	North America			Desmodus rotundus	Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2021
PQ379835.1																	North America				Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2021
PQ379834.1																	North America			Desmodus rotundus	Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2022
PQ379833.1																	North America			Desmodus rotundus	Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2023
PQ379832.1																	North America			Desmodus rotundus	Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2023
PQ379831.1																	North America			Desmodus rotundus	Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2023
PQ379830.1																	North America				Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2023
PQ379829.1																	North America			Desmodus rotundus	Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2023
PQ379828.1																	North America				Mora-Palma,P.,Hernandez-Sanchez,M.A.,Venegas-Cureno,E.,Nieves-Garcia,E.U.,Montano-Hirose,J.A.,Jasso-Villazul,C.E.	2023
PP764242.1																	South America	French Guiana		Homo sapiens	Hourdel,V.,Baliere,C.,Vanhomwegen,J.,Grassin,Q.,Manuguerra,J.C.,Kallel,H.,Demar,M.,Dacheux,L.,Caro,V.	2024
PP447341.1																	North America	USA		Mephitis mephitis	Brunt,S.	2021
PP447340.1																	North America	USA		Eptesicus fuscus	Brunt,S.	2021
PP447339.1																	North America	USA		Bassariscus astutus	Brunt,S.	2021
PP447338.1																	North America	USA		Mephitis mephitis	Brunt,S.	2021
PP447337.1																	North America	USA		Eptesicus fuscus	Brunt,S.	2021
PP447336.1																	North America	USA		Mephitis mephitis	Brunt,S.	2021
PP447335.1																	North America	USA		Mephitis mephitis	Brunt,S.	2021
PP447334.1																	North America	USA		Mephitis mephitis	Brunt,S.	2021
PP447333.1																	North America	USA		Mephitis mephitis	Brunt,S.	2021
PP447332.1																	North America	USA		Procyon lotor	Brunt,S.	2021
PP447331.1																	North America	USA		Procyon lotor	Brunt,S.	2021
PP447330.1																	North America	USA		Procyon lotor	Brunt,S.	2021
PP447329.1																	North America	USA		Procyon lotor	Brunt,S.	2021
PP447328.1																	North America	USA		Procyon lotor	Brunt,S.	2021
PP447327.1																	North America	USA		Procyon lotor	Brunt,S.	2021
PP447326.1																	North America	USA		Procyon lotor	Brunt,S.	2021
PP447325.1																	North America	USA		Mephitis mephitis	Brunt,S.	2021
PP447324.1																	North America	USA		Mephitis mephitis	Brunt,S.	2021
PP447323.1																	North America	USA		Procyon lotor	Brunt,S.	2022
PP447322.1																	North America	USA		Procyon lotor	Brunt,S.	2021
PP386031.1																	North America	USA		Eptesicus fuscus	Gilbert,A.T.,Van Pelt,L.I.,Hastings,L.A.,Gigante,C.M.,Orciari,L.A.,Kelley,S.,Fitzpatrick,K.,Condori,R.E.,Li,Y.,Bruntt,S.,Davis,A.,Hopken,M.W.,Mankowski,C.C.P.,Wallace,R.M.,Rupprecht,C.E.,Chipman,R.B.,Bergman,D.L.	2022
PP386030.1																	North America	USA		Eptesicus fuscus	Gilbert,A.T.,Van Pelt,L.I.,Hastings,L.A.,Gigante,C.M.,Orciari,L.A.,Kelley,S.,Fitzpatrick,K.,Condori,R.E.,Li,Y.,Bruntt,S.,Davis,A.,Hopken,M.W.,Mankowski,C.C.P.,Wallace,R.M.,Rupprecht,C.E.,Chipman,R.B.,Bergman,D.L.	2022
PP386029.1																	North America	USA		Mephitis mephitis	Gilbert,A.T.,Van Pelt,L.I.,Hastings,L.A.,Gigante,C.M.,Orciari,L.A.,Kelley,S.,Fitzpatrick,K.,Condori,R.E.,Li,Y.,Bruntt,S.,Davis,A.,Hopken,M.W.,Mankowski,C.C.P.,Wallace,R.M.,Rupprecht,C.E.,Chipman,R.B.,Bergman,D.L.	2022
PP386028.1																	North America	USA		Mephitis mephitis	Gilbert,A.T.,Van Pelt,L.I.,Hastings,L.A.,Gigante,C.M.,Orciari,L.A.,Kelley,S.,Fitzpatrick,K.,Condori,R.E.,Li,Y.,Bruntt,S.,Davis,A.,Hopken,M.W.,Mankowski,C.C.P.,Wallace,R.M.,Rupprecht,C.E.,Chipman,R.B.,Bergman,D.L.	2022
PP386027.1																	North America	USA		Mephitis mephitis	Gilbert,A.T.,Van Pelt,L.I.,Hastings,L.A.,Gigante,C.M.,Orciari,L.A.,Kelley,S.,Fitzpatrick,K.,Condori,R.E.,Li,Y.,Bruntt,S.,Davis,A.,Hopken,M.W.,Mankowski,C.C.P.,Wallace,R.M.,Rupprecht,C.E.,Chipman,R.B.,Bergman,D.L.	2021
PP386026.1																	North America	USA		Mephitis mephitis	Gilbert,A.T.,Van Pelt,L.I.,Hastings,L.A.,Gigante,C.M.,Orciari,L.A.,Kelley,S.,Fitzpatrick,K.,Condori,R.E.,Li,Y.,Bruntt,S.,Davis,A.,Hopken,M.W.,Mankowski,C.C.P.,Wallace,R.M.,Rupprecht,C.E.,Chipman,R.B.,Bergman,D.L.	2021
PP386025.1																	North America	USA		Mephitis mephitis	Gilbert,A.T.,Van Pelt,L.I.,Hastings,L.A.,Gigante,C.M.,Orciari,L.A.,Kelley,S.,Fitzpatrick,K.,Condori,R.E.,Li,Y.,Bruntt,S.,Davis,A.,Hopken,M.W.,Mankowski,C.C.P.,Wallace,R.M.,Rupprecht,C.E.,Chipman,R.B.,Bergman,D.L.	2021
PP386024.1																	North America	USA		Mephitis mephitis	Gilbert,A.T.,Van Pelt,L.I.,Hastings,L.A.,Gigante,C.M.,Orciari,L.A.,Kelley,S.,Fitzpatrick,K.,Condori,R.E.,Li,Y.,Bruntt,S.,Davis,A.,Hopken,M.W.,Mankowski,C.C.P.,Wallace,R.M.,Rupprecht,C.E.,Chipman,R.B.,Bergman,D.L.	2021
PP386023.1																	North America	USA		Mephitis mephitis	Gilbert,A.T.,Van Pelt,L.I.,Hastings,L.A.,Gigante,C.M.,Orciari,L.A.,Kelley,S.,Fitzpatrick,K.,Condori,R.E.,Li,Y.,Bruntt,S.,Davis,A.,Hopken,M.W.,Mankowski,C.C.P.,Wallace,R.M.,Rupprecht,C.E.,Chipman,R.B.,Bergman,D.L.	2021
OU524425.1																	North America			Eptesicus fuscus		1986
OU524413.1																				Desmodus rotundus		1973
OR474090.1																	North America			Ursus americanus	Helal,Z.H.,Soriano,N.F.B.,Chung,H.,Sims,M.,Wheeler,A.,Risatti,G.R.	2023
OR227629.1																	North America	USA		Procyon lotor	Chung,H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Hyeon,J.-Y.,Kim,J.,Risatti,G.,Lee,D.-H.	2019
OR227628.1																	North America	USA			Chung,H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Hyeon,J.-Y.,Kim,J.,Risatti,G.,Lee,D.-H.	2018
OQ410154.1																	North America	USA		Lasionycteris noctivagans	Holzbauer,S.M.,Schrodt,C.A.,Prabhu,R.M.,Asch-Kendrick,R.J.,Ireland,M.,Klumb,C.,Firestone,M.J.,Liu,G.,Harry,K.,Ritter,J.M.,Levine,M.Z.,Orciari,L.A.,Wilkins,K.,Yager,P.,Gigante,C.M.,Ellison,J.A.,Zhao,H.,Niezgoda,M.,Li,Y.,Levis,R.,Scott,D.,Satheshkumar,P.S.,Petersen,B.W.,Rao,A.K.,Bell,W.R.,Bjerk,S.M.,Forrest,S.,Gao,W.,Dasheiff,R.,Russell,K.,Pappas,M.,Kiefer,J.,Bickler,W.,Wiseman,A.,Jurantee,J.,Reichard,R.R.,Smith,K.E.,Lynfield,R.,Scheftel,J.,Wallace,R.M.,Bonwitt,J.	2018
OQ410153.1																	North America	USA		Lasionycteris noctivagans	Holzbauer,S.M.,Schrodt,C.A.,Prabhu,R.M.,Asch-Kendrick,R.J.,Ireland,M.,Klumb,C.,Firestone,M.J.,Liu,G.,Harry,K.,Ritter,J.M.,Levine,M.Z.,Orciari,L.A.,Wilkins,K.,Yager,P.,Gigante,C.M.,Ellison,J.A.,Zhao,H.,Niezgoda,M.,Li,Y.,Levis,R.,Scott,D.,Satheshkumar,P.S.,Petersen,B.W.,Rao,A.K.,Bell,W.R.,Bjerk,S.M.,Forrest,S.,Gao,W.,Dasheiff,R.,Russell,K.,Pappas,M.,Kiefer,J.,Bickler,W.,Wiseman,A.,Jurantee,J.,Reichard,R.R.,Smith,K.E.,Lynfield,R.,Scheftel,J.,Wallace,R.M.,Bonwitt,J.	2018
OQ410152.1																	North America	USA		Lasionycteris noctivagans	Holzbauer,S.M.,Schrodt,C.A.,Prabhu,R.M.,Asch-Kendrick,R.J.,Ireland,M.,Klumb,C.,Firestone,M.J.,Liu,G.,Harry,K.,Ritter,J.M.,Levine,M.Z.,Orciari,L.A.,Wilkins,K.,Yager,P.,Gigante,C.M.,Ellison,J.A.,Zhao,H.,Niezgoda,M.,Li,Y.,Levis,R.,Scott,D.,Satheshkumar,P.S.,Petersen,B.W.,Rao,A.K.,Bell,W.R.,Bjerk,S.M.,Forrest,S.,Gao,W.,Dasheiff,R.,Russell,K.,Pappas,M.,Kiefer,J.,Bickler,W.,Wiseman,A.,Jurantee,J.,Reichard,R.R.,Smith,K.E.,Lynfield,R.,Scheftel,J.,Wallace,R.M.,Bonwitt,J.	2019
OQ410151.1																	North America	USA		Lasionycteris noctivagans	Holzbauer,S.M.,Schrodt,C.A.,Prabhu,R.M.,Asch-Kendrick,R.J.,Ireland,M.,Klumb,C.,Firestone,M.J.,Liu,G.,Harry,K.,Ritter,J.M.,Levine,M.Z.,Orciari,L.A.,Wilkins,K.,Yager,P.,Gigante,C.M.,Ellison,J.A.,Zhao,H.,Niezgoda,M.,Li,Y.,Levis,R.,Scott,D.,Satheshkumar,P.S.,Petersen,B.W.,Rao,A.K.,Bell,W.R.,Bjerk,S.M.,Forrest,S.,Gao,W.,Dasheiff,R.,Russell,K.,Pappas,M.,Kiefer,J.,Bickler,W.,Wiseman,A.,Jurantee,J.,Reichard,R.R.,Smith,K.E.,Lynfield,R.,Scheftel,J.,Wallace,R.M.,Bonwitt,J.	2020
OQ410150.1																	North America	USA		Lasionycteris noctivagans	Holzbauer,S.M.,Schrodt,C.A.,Prabhu,R.M.,Asch-Kendrick,R.J.,Ireland,M.,Klumb,C.,Firestone,M.J.,Liu,G.,Harry,K.,Ritter,J.M.,Levine,M.Z.,Orciari,L.A.,Wilkins,K.,Yager,P.,Gigante,C.M.,Ellison,J.A.,Zhao,H.,Niezgoda,M.,Li,Y.,Levis,R.,Scott,D.,Satheshkumar,P.S.,Petersen,B.W.,Rao,A.K.,Bell,W.R.,Bjerk,S.M.,Forrest,S.,Gao,W.,Dasheiff,R.,Russell,K.,Pappas,M.,Kiefer,J.,Bickler,W.,Wiseman,A.,Jurantee,J.,Reichard,R.R.,Smith,K.E.,Lynfield,R.,Scheftel,J.,Wallace,R.M.,Bonwitt,J.	2020
OQ410149.1																	North America	USA		Lasionycteris noctivagans	Holzbauer,S.M.,Schrodt,C.A.,Prabhu,R.M.,Asch-Kendrick,R.J.,Ireland,M.,Klumb,C.,Firestone,M.J.,Liu,G.,Harry,K.,Ritter,J.M.,Levine,M.Z.,Orciari,L.A.,Wilkins,K.,Yager,P.,Gigante,C.M.,Ellison,J.A.,Zhao,H.,Niezgoda,M.,Li,Y.,Levis,R.,Scott,D.,Satheshkumar,P.S.,Petersen,B.W.,Rao,A.K.,Bell,W.R.,Bjerk,S.M.,Forrest,S.,Gao,W.,Dasheiff,R.,Russell,K.,Pappas,M.,Kiefer,J.,Bickler,W.,Wiseman,A.,Jurantee,J.,Reichard,R.R.,Smith,K.E.,Lynfield,R.,Scheftel,J.,Wallace,R.M.,Bonwitt,J.	2020
OQ410148.1																	North America	USA		Homo sapiens	Holzbauer,S.M.,Schrodt,C.A.,Prabhu,R.M.,Asch-Kendrick,R.J.,Ireland,M.,Klumb,C.,Firestone,M.J.,Liu,G.,Harry,K.,Ritter,J.M.,Levine,M.Z.,Orciari,L.A.,Wilkins,K.,Yager,P.,Gigante,C.M.,Ellison,J.A.,Zhao,H.,Niezgoda,M.,Li,Y.,Levis,R.,Scott,D.,Satheshkumar,P.S.,Petersen,B.W.,Rao,A.K.,Bell,W.R.,Bjerk,S.M.,Forrest,S.,Gao,W.,Dasheiff,R.,Russell,K.,Pappas,M.,Kiefer,J.,Bickler,W.,Wiseman,A.,Jurantee,J.,Reichard,R.R.,Smith,K.E.,Lynfield,R.,Scheftel,J.,Wallace,R.M.,Bonwitt,J.	2021
OQ410147.1																	North America	USA		Lasionycteris noctivagans	Holzbauer,S.M.,Schrodt,C.A.,Prabhu,R.M.,Asch-Kendrick,R.J.,Ireland,M.,Klumb,C.,Firestone,M.J.,Liu,G.,Harry,K.,Ritter,J.M.,Levine,M.Z.,Orciari,L.A.,Wilkins,K.,Yager,P.,Gigante,C.M.,Ellison,J.A.,Zhao,H.,Niezgoda,M.,Li,Y.,Levis,R.,Scott,D.,Satheshkumar,P.S.,Petersen,B.W.,Rao,A.K.,Bell,W.R.,Bjerk,S.M.,Forrest,S.,Gao,W.,Dasheiff,R.,Russell,K.,Pappas,M.,Kiefer,J.,Bickler,W.,Wiseman,A.,Jurantee,J.,Reichard,R.R.,Smith,K.E.,Lynfield,R.,Scheftel,J.,Wallace,R.M.,Bonwitt,J.	2020
OQ410146.1																	North America	USA		Lasionycteris noctivagans	Holzbauer,S.M.,Schrodt,C.A.,Prabhu,R.M.,Asch-Kendrick,R.J.,Ireland,M.,Klumb,C.,Firestone,M.J.,Liu,G.,Harry,K.,Ritter,J.M.,Levine,M.Z.,Orciari,L.A.,Wilkins,K.,Yager,P.,Gigante,C.M.,Ellison,J.A.,Zhao,H.,Niezgoda,M.,Li,Y.,Levis,R.,Scott,D.,Satheshkumar,P.S.,Petersen,B.W.,Rao,A.K.,Bell,W.R.,Bjerk,S.M.,Forrest,S.,Gao,W.,Dasheiff,R.,Russell,K.,Pappas,M.,Kiefer,J.,Bickler,W.,Wiseman,A.,Jurantee,J.,Reichard,R.R.,Smith,K.E.,Lynfield,R.,Scheftel,J.,Wallace,R.M.,Bonwitt,J.	2020
OQ410145.1																	North America	USA		Eptesicus fuscus	Holzbauer,S.M.,Schrodt,C.A.,Prabhu,R.M.,Asch-Kendrick,R.J.,Ireland,M.,Klumb,C.,Firestone,M.J.,Liu,G.,Harry,K.,Ritter,J.M.,Levine,M.Z.,Orciari,L.A.,Wilkins,K.,Yager,P.,Gigante,C.M.,Ellison,J.A.,Zhao,H.,Niezgoda,M.,Li,Y.,Levis,R.,Scott,D.,Satheshkumar,P.S.,Petersen,B.W.,Rao,A.K.,Bell,W.R.,Bjerk,S.M.,Forrest,S.,Gao,W.,Dasheiff,R.,Russell,K.,Pappas,M.,Kiefer,J.,Bickler,W.,Wiseman,A.,Jurantee,J.,Reichard,R.R.,Smith,K.E.,Lynfield,R.,Scheftel,J.,Wallace,R.M.,Bonwitt,J.	2019
OQ068400.1																					Dirbakova,Z.	
OP642459.1																					Dirbakova,Z.,Mojzis,M.	
ON986484.1																	North America	USA		Marmota monax	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986483.1																	North America	USA		Marmota monax	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986482.1																	North America	USA		Marmota monax	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986481.1																	North America	USA		Mephitidae	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986479.1																	North America	USA		Mephitidae	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986478.1																	North America	USA		Mephitidae	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986477.1																	North America	USA		Mephitidae	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2017
ON986476.1																	North America	USA		Mephitidae	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2017
ON986475.1																	North America	USA		Mephitidae	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2017
ON986474.1																	North America	USA		Mephitidae	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2017
ON986472.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986471.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986470.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986469.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986468.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986467.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986466.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986465.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986464.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986463.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986462.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986460.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986458.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2019
ON986457.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986455.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986453.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986449.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986448.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986447.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986446.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986445.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986444.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986442.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2018
ON986439.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2017
ON986436.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2017
ON986435.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2017
ON986434.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2017
ON986433.1																	North America	USA		Procyon lotor	Chung,D.H.,Helal,Z.,Desiato,J.,McGinnis,H.,Sims,M.,Hunt,A.,Kim,J.,Risatti,G.R.,Lee,D.H.,Chung,H.,Hyeon,J.-Y.,Risatti,G.,Lee,D.-H.	2017
